Architecture,NYU v2,DIML Indoor,DIML Outdoor,Middleburry
DenseDepth,0.245384421653796,0.378814545991058,0.712603956558432,0.612767244036742
ResNet50,0.711443841526996,0.554510234027062,0.81082256693032,0.864436751998703
MobileNet,0.549810735196901,0.531342261458712,0.839501189827569,0.88350925561324
Unet,0.785977799271414,0.723013414100919,0.854921045651879,0.919126939245253
